"ID","Total.Eggs","treatment","eggs"
"17-2305",7,"Treated.Eggs",7
"17-6336",45,"Treated.Eggs",12
"17-2333",112,"Treated.Eggs",39
"17-2368",24,"Treated.Eggs",7
"17-2386",55,"Treated.Eggs",18
"17-2360",150,"Treated.Eggs",45
"16-4385",159,"Treated.Eggs",92
"16-4418",182,"Treated.Eggs",74
"16-4410",7,"Treated.Eggs",6
"16-4417",78,"Treated.Eggs",24
"17-2396",1,"Treated.Eggs",1
"17-2421",196,"Treated.Eggs",85
"17-2463",177,"Treated.Eggs",74
"17-2471",408,"Treated.Eggs",288
"17-2423",300,"Treated.Eggs",170
"17-2436",150,"Treated.Eggs",62
"17-2401",124,"Treated.Eggs",54
"17-2462",293,"Treated.Eggs",130
"16-4506",218,"Treated.Eggs",134
"16-4500",152,"Treated.Eggs",116
"16-4545",87,"Treated.Eggs",20
"16-4497",161,"Treated.Eggs",55
"16-4476",140,"Treated.Eggs",31
"16-4570",167,"Treated.Eggs",70
"16-4548",4,"Treated.Eggs",1
"16-4546",77,"Treated.Eggs",35
"17-2305",7,"Untreated.Eggs",0
"17-6336",45,"Untreated.Eggs",33
"17-2333",112,"Untreated.Eggs",73
"17-2368",24,"Untreated.Eggs",17
"17-2386",55,"Untreated.Eggs",37
"17-2360",150,"Untreated.Eggs",105
"16-4385",159,"Untreated.Eggs",67
"16-4418",182,"Untreated.Eggs",108
"16-4410",7,"Untreated.Eggs",1
"16-4417",78,"Untreated.Eggs",54
"17-2396",1,"Untreated.Eggs",0
"17-2421",196,"Untreated.Eggs",111
"17-2463",177,"Untreated.Eggs",103
"17-2471",408,"Untreated.Eggs",120
"17-2423",300,"Untreated.Eggs",130
"17-2436",150,"Untreated.Eggs",88
"17-2401",124,"Untreated.Eggs",70
"17-2462",293,"Untreated.Eggs",163
"16-4506",218,"Untreated.Eggs",84
"16-4500",152,"Untreated.Eggs",36
"16-4545",87,"Untreated.Eggs",67
"16-4497",161,"Untreated.Eggs",106
"16-4476",140,"Untreated.Eggs",109
"16-4570",167,"Untreated.Eggs",97
"16-4548",4,"Untreated.Eggs",3
"16-4546",77,"Untreated.Eggs",42
